PredictionString,image_id
0 0.17630488 636.2885 259.0106 734.9323 344.93845 0 0.15698153 479.26056 587.35187 560.1065 670.4224 0 0.08925768 655.7573 186.23268 711.4458 239.25645 0 0.06141039 468.8753 568.89545 555.35846 602.53253 1 0.988196 565.59534 112.11772 776.73706 368.48767 1 0.3048361 545.40607 106.34807 867.07355 504.87396 1 0.3018937 637.64484 258.78827 733.6519 343.99255 1 0.12898786 470.13034 586.5457 577.56915 679.4782 1 0.099876605 717.46564 312.63654 771.9914 352.54572 1 0.072097756 575.91626 237.82645 764.1918 355.7073 1 0.054970838 430.33228 424.02777 578.3618 681.71246 1 0.052955277 468.8753 568.89545 555.35846 602.53253 2 0.2263074 640.9633 259.7464 732.0423 335.55762 5 0.95679104 243.91281 687.1704 299.31247 748.79626 5 0.4088267 328.63223 561.399 464.08597 734.49493 5 0.31592727 349.8282 679.2025 430.39417 723.51514 5 0.30723915 387.74084 601.3729 464.96887 724.12646 5 0.18023135 333.49292 583.82715 408.48596 721.27686 5 0.17535602 638.3742 258.88037 733.9206 344.00122 5 0.1621048 340.4902 680.9204 392.35605 722.58875 5 0.1282969 341.3734 630.99774 425.91284 724.3743 5 0.10126406 375.34952 607.0795 434.02567 728.6313 5 0.09752636 377.17374 561.93286 442.6719 617.67786 5 0.060631696 422.1335 566.4239 468.0933 698.57196 5 0.056331918 480.52023 589.262 566.80896 665.5457 5 0.05525087 335.3045 681.63965 360.24493 736.8456 5 0.053674128 397.19058 607.30145 424.82645 710.7149 5 0.051031005 313.83203 577.7417 597.8892 734.9966 6 0.09465735 431.3084 448.53033 560.67084 603.6993 7 0.99987423 609.6283 518.593 949.0029 1017.4127 7 0.9997613 222.46298 62.40599 460.94644 477.69165 7 0.99954337 120.69857 423.3081 325.21262 730.2733 7 0.99748445 556.1258 350.80115 707.7337 611.6712 7 0.9909184 649.19135 332.3097 869.9405 617.6618 7 0.9750133 392.33417 192.73482 597.01715 597.9041 7 0.9724265 449.19666 577.797 641.1122 873.6681 7 0.9528059 264.40845 442.37335 425.87793 613.67694 7 0.50014275 325.8109 558.273 464.02045 736.1292 7 0.4100105 541.7777 186.59932 573.41296 243.64232 7 0.25474823 157.80177 421.95502 206.05595 455.68097 7 0.24396181 289.10025 439.35272 456.5081 735.1414 7 0.21460864 480.47354 587.5457 563.1002 668.13837 7 0.1172144 634.2879 258.96823 737.2099 344.90457 7 0.094081 327.7506 573.7995 410.7751 707.9991 7 0.09351714 386.26022 597.03253 462.67758 726.9538 7 0.059286814 272.05966 448.04614 315.49594 569.6768 7 0.055159252 428.45972 351.6325 695.5592 885.8293 7 0.054890204 323.49753 519.7141 553.1741 736.67505 ,test/0000.jpg
0 0.6515888 640.0917 644.7938 685.3456 828.63184 0 0.4289524 624.60846 661.1407 670.26666 832.1966 3 0.07016494 341.67883 243.40381 758.0442 692.6249 4 0.41920722 342.97272 243.49403 757.05084 693.96967 5 0.99608445 124.5242 0.0 503.37283 292.66278 5 0.85511166 344.01807 243.65622 757.5382 692.8423 6 0.128631 752.651 657.26746 898.5609 992.5891 ,test/0001.jpg
0 0.76654917 876.152 468.06778 1022.11304 624.75104 0 0.65019065 151.75168 277.7826 427.69742 396.82117 0 0.5962943 336.07233 335.91705 1011.9992 372.30756 0 0.5524275 341.39575 316.31952 1018.4155 391.50903 0 0.47914043 246.79408 282.764 330.97925 496.7319 0 0.36670637 130.4392 318.45392 255.822 592.85846 0 0.3406585 780.7923 442.57797 1021.1556 1024.0 0 0.28467605 257.57523 284.20316 289.12643 383.73544 0 0.27390435 359.20926 331.48566 1011.49695 471.23108 0 0.21050133 824.6953 426.38776 1019.0183 691.35504 0 0.20397347 121.86055 284.971 418.21777 585.8225 0 0.19835529 150.86157 338.39487 328.7447 572.6703 0 0.16962847 133.38582 382.93338 330.63757 497.89963 0 0.16832371 303.27487 417.83286 982.7577 696.7866 0 0.15074742 435.57306 265.3091 1014.6026 375.2269 0 0.13642707 665.0282 290.52814 731.2827 323.8144 0 0.12651303 241.53523 282.16138 402.21497 455.61676 0 0.1084653 658.10596 227.52655 985.74817 333.117 0 0.108006045 149.73337 295.82758 363.34164 486.03827 0 0.107014 866.59314 248.31454 908.23303 327.1935 0 0.09365213 1.3934555 239.08153 143.18018 364.12094 0 0.07836677 81.92638 284.62195 433.46417 347.9646 0 0.074870035 243.64963 282.8994 289.58835 345.8634 0 0.055241853 222.86119 497.26303 324.5103 550.02716 0 0.05499026 676.3272 227.11548 846.5446 322.78577 1 0.95014083 777.1413 445.8297 1022.02277 1024.0 1 0.9272998 284.7177 313.1452 1013.7519 741.8265 1 0.92130023 429.02393 266.66284 638.7069 328.68494 1 0.91999567 81.24548 280.70526 415.603 599.42236 1 0.6770141 654.84845 226.54831 1019.3505 338.49844 1 0.32621104 100.22702 382.0484 335.00153 593.851 1 0.29450777 676.3272 227.11548 846.5446 322.78577 1 0.23251103 391.7353 260.35367 1023.70074 356.59518 1 0.14988974 993.9857 307.95474 1022.0702 400.31625 1 0.12789498 960.57947 269.3435 1022.4258 394.77008 1 0.12516989 898.05927 227.56444 1022.4986 388.31384 1 0.11368416 964.6558 322.82013 1020.97284 383.10217 1 0.10582451 960.84436 301.90674 1024.0 345.7177 1 0.10542889 1.2673798 239.72409 142.72322 362.33035 1 0.08710105 363.19003 305.3057 1019.79626 374.3594 1 0.083175965 634.999 290.28894 999.4203 353.05762 1 0.064072356 116.35956 438.32587 264.35794 598.13446 1 0.06042867 966.4974 230.6296 1023.9194 258.9763 1 0.059815165 203.78656 431.9024 329.3551 586.2057 1 0.058769647 981.6057 334.6413 1022.04297 393.35138 1 0.05544001 996.2838 262.45758 1024.0 341.64166 1 0.05444562 915.09216 322.43185 1003.2617 366.77567 2 0.11724793 677.33234 228.25673 806.539 321.6225 6 0.25452283 291.9024 315.08994 1009.2652 741.32336 6 0.2037152 1.3934555 239.08153 143.18018 364.12094 6 0.076787286 372.19467 317.34875 1007.7008 364.46143 7 0.18790741 778.72375 445.75702 1022.06006 1024.0 7 0.11792935 995.04553 317.16486 1022.1301 404.8269 7 0.059994683 677.33234 228.25673 806.539 321.6225 ,test/0002.jpg
0 0.1664077 36.723328 71.89642 1000.44403 974.5778 9 0.99939024 138.8595 252.2605 923.3114 826.83606 9 0.6974522 7.762024 434.11694 188.7526 862.7886 9 0.4955489 2.5986633 314.5101 282.48563 1024.0 9 0.48689348 0.0 0.0 1024.0 399.78546 9 0.44611523 97.035034 729.51575 1011.5265 1024.0 9 0.39732936 0.0 53.23654 295.68985 501.25235 9 0.29944587 4.00856 1.9985657 376.5229 990.11206 9 0.2313337 8.214508 0.0 550.26526 480.05542 9 0.10222973 0.0 686.2031 306.37674 1024.0 9 0.07589425 496.94373 0.0 1004.56604 180.98238 9 0.06795478 0.79491425 280.03644 220.00107 509.94977 9 0.052026186 741.1081 291.97794 1017.2493 485.95816 ,test/0003.jpg
0 0.14559273 194.66068 281.3822 881.723 772.80054 0 0.09201215 425.08502 507.80603 480.71143 573.8002 0 0.08514805 416.40762 351.0959 662.485 565.8501 0 0.081291586 459.89456 407.0741 653.17786 535.0057 1 0.97840595 192.30789 256.53207 882.35486 772.78784 1 0.120958544 420.44977 336.0284 665.7608 557.8858 5 0.5413578 455.9912 406.49725 652.1039 538.4719 7 0.11674992 425.18365 507.19156 482.00793 574.5835 ,test/0004.jpg
2 0.9999558 346.9594 234.7401 775.94794 712.6085 ,test/0005.jpg
0 0.8897727 62.854095 375.99478 230.67728 765.9535 0 0.5074102 899.1867 785.6942 1024.0 914.82007 0 0.4123062 0.05739212 809.5338 92.4883 941.8976 0 0.24194893 192.01051 659.81537 308.66806 866.06915 0 0.16709664 601.57886 0.0 701.9508 80.563675 1 0.30225283 898.2696 785.07416 1024.0 914.8798 1 0.16277732 0.05739212 809.5338 92.4883 941.8976 1 0.14286265 196.46216 540.5128 273.69647 703.9 1 0.10293959 601.5908 0.0 701.9807 80.54158 2 0.14334881 601.5908 0.0 701.9807 80.54158 4 0.33920357 422.8377 16.078705 683.16644 279.704 5 0.9954992 362.79016 450.09924 829.60974 722.0681 5 0.93125373 0.0 63.49185 69.96705 219.11746 5 0.5612828 422.80927 15.123657 686.6357 279.47668 5 0.1929092 601.57886 0.0 701.9508 80.563675 5 0.06897117 62.01899 375.2332 230.54956 766.1625 6 0.12611113 196.34613 540.713 274.01593 704.31274 6 0.08768242 0.1537857 809.69165 92.34752 942.08386 7 0.4684466 276.73065 12.552216 417.07648 175.31029 ,test/0006.jpg
0 0.24430282 76.40497 47.776825 1024.0 975.9136 0 0.2419979 788.6378 86.99533 874.16614 197.81403 0 0.08188963 0.04975891 577.64075 300.45526 1023.62366 0 0.077257685 233.08994 496.2672 974.4918 1011.4238 0 0.064958096 861.21924 530.3715 1017.4877 1017.5158 0 0.06174493 344.54108 137.95642 757.09 670.65106 0 0.0580538 459.28424 108.1804 887.0147 252.08047 0 0.05521391 319.82703 4.191536 980.01013 225.74161 0 0.052400574 468.1174 861.0569 1024.0 1019.4077 1 0.9038669 220.13237 892.6714 600.4852 1024.0 1 0.8907461 881.6485 889.3581 1020.86273 1023.88995 1 0.86303246 105.37494 101.14111 976.8731 885.6801 1 0.16218175 183.82202 491.67255 918.7274 921.29266 1 0.070609644 423.3134 887.5521 605.5774 1022.9635 5 0.052513063 197.52975 109.30765 930.0259 804.489 7 0.5375561 715.3215 169.01233 991.5771 590.47516 7 0.23264576 263.60522 103.831085 940.50476 741.6102 7 0.12338244 76.40497 47.776825 1024.0 975.9136 9 0.663628 285.45578 106.91849 926.0575 736.73975 9 0.29377845 491.03125 491.02274 896.88074 731.7677 9 0.112776205 349.16156 147.15918 735.91974 663.24744 9 0.056857884 719.41925 171.73239 991.6475 590.121 ,test/0007.jpg
0 0.37243688 106.898834 909.0708 170.91165 971.224 0 0.073004626 229.83832 490.83435 283.8277 555.81995 0 0.05697207 361.28555 498.1072 468.705 607.6558 1 0.6829396 106.729904 909.2976 170.84581 971.9071 1 0.14077532 361.28555 498.1072 468.705 607.6558 2 0.12846716 232.81525 492.04816 282.03412 546.1252 5 0.15483186 549.2727 431.57574 723.2175 616.8038 5 0.12382842 566.8909 434.59482 619.1491 517.1222 5 0.12187431 578.2208 472.82648 615.6223 516.27783 5 0.11630101 603.8447 342.664 741.6394 468.49658 5 0.05131487 232.81525 492.04816 282.03412 546.1252 6 0.9873942 772.0169 287.68756 978.9632 612.8031 6 0.08053093 360.30225 496.54303 452.31982 591.1893 7 0.9999031 3.9056015 606.94226 178.26132 880.08167 7 0.9997092 155.00229 533.45544 454.7474 968.2788 7 0.99941325 402.4764 453.07217 695.25256 880.6504 7 0.9937039 2.0761719 363.49527 292.31024 638.4872 7 0.8880432 357.61765 496.6887 478.2722 667.363 7 0.8502542 0.0 538.51514 52.274857 696.90955 7 0.6735018 549.2727 431.57574 723.2175 616.8038 7 0.5560553 677.27423 451.20825 813.02045 703.0691 7 0.42457306 223.24182 502.04346 327.24255 557.45435 7 0.3975563 552.3123 412.58722 801.72455 698.1341 7 0.3039904 188.63257 496.45575 326.6753 587.02374 7 0.24852127 151.41951 583.1867 196.36732 654.2569 7 0.20764568 147.73798 492.5287 308.191 640.39844 7 0.1599026 24.672485 485.83624 337.43817 634.7592 7 0.15249313 218.12161 492.31808 289.37073 566.47485 7 0.10972826 106.6328 909.47687 171.40303 971.33966 7 0.09745408 627.05115 458.18347 755.4707 608.8235 7 0.095525496 10.331884 620.5137 60.554596 703.3191 7 0.082872495 360.4203 516.159 424.05908 679.1495 7 0.07662314 600.6047 346.61353 768.16046 635.1166 7 0.07078902 403.26773 592.9432 458.20737 659.9681 7 0.06952477 22.358212 548.01215 59.437954 620.04535 7 0.06811833 232.81525 492.04816 282.03412 546.1252 7 0.060522906 504.30923 467.30563 580.25665 508.8422 7 0.05991642 695.7019 524.9873 783.4636 698.2119 7 0.05501438 360.31543 496.5025 450.51318 590.54974 ,test/0008.jpg
0 0.9624004 297.86484 121.54126 671.3579 974.0646 1 0.15567064 298.57513 123.29465 670.30505 975.5864 ,test/0009.jpg
