PredictionString,image_id
7 0.053629372268915176 264.0 440.0 440.0 607.0 5 0.056446634232997894 348.0 594.0 467.0 719.0 5 0.06128748878836632 465.0 579.0 559.0 639.0 1 0.0711798369884491 673.0 257.0 728.0 315.0 0 0.07932937145233154 319.0 716.0 332.0 744.0 1 0.08731584995985031 491.0 597.0 557.0 646.0 5 0.09054027497768402 392.0 615.0 461.0 687.0 5 0.09337347000837326 482.0 610.0 508.0 657.0 1 0.0943078026175499 465.0 554.0 564.0 604.0 7 0.10052535682916641 541.0 182.0 575.0 239.0 1 0.10083010047674179 454.0 554.0 589.0 665.0 1 0.12636388838291168 453.0 782.0 497.0 872.0 5 0.13473457098007202 495.0 598.0 561.0 644.0 0 0.14530964195728302 629.0 254.0 732.0 342.0 5 0.17516177892684937 369.0 678.0 434.0 727.0 1 0.2104567140340805 482.0 610.0 508.0 657.0 1 0.2238917350769043 629.0 161.0 737.0 333.0 5 0.24389789998531342 391.0 682.0 426.0 721.0 1 0.2619703412055969 465.0 572.0 561.0 635.0 1 0.327684611082077 631.0 250.0 736.0 341.0 1 0.35988980531692505 543.0 390.0 663.0 606.0 7 0.3658295273780823 572.0 351.0 708.0 566.0 0 0.4199047386646271 216.0 692.0 252.0 731.0 2 0.5586798191070557 329.0 637.0 352.0 683.0 7 0.6515188813209534 262.0 414.0 470.0 741.0 5 0.6632475852966309 326.0 670.0 464.0 743.0 1 0.6882230639457703 431.0 468.0 577.0 685.0 1 0.8266187906265259 571.0 346.0 710.0 559.0 5 0.8586709499359131 243.0 684.0 302.0 748.0 5 0.867943286895752 342.0 642.0 396.0 725.0 1 0.8878659605979919 567.0 104.0 753.0 362.0 7 0.911924421787262 390.0 187.0 619.0 545.0 7 0.9152054786682129 450.0 602.0 649.0 873.0 7 0.9484826922416687 651.0 338.0 877.0 602.0 7 0.9495594501495361 119.0 421.0 330.0 708.0 7 0.9506815075874329 216.0 48.0 452.0 470.0 7 0.972206711769104 604.0 522.0 956.0 1024.0 ,test/0000.jpg
0 0.09204626828432083 629.0 649.0 686.0 881.0 5 0.9021244645118713 131.0 0.0 495.0 267.0 5 0.9254460334777832 344.0 250.0 755.0 699.0 ,test/0001.jpg
0 0.05520516633987427 751.0 317.0 1024.0 915.0 1 0.06742895394563675 971.0 679.0 1024.0 1015.0 1 0.07681167870759964 951.0 474.0 1024.0 1018.0 5 0.08182550221681595 993.0 304.0 1024.0 397.0 0 0.08424218744039536 267.0 283.0 318.0 544.0 0 0.09645417332649231 365.0 320.0 994.0 372.0 1 0.0979466438293457 754.0 220.0 1024.0 578.0 5 0.14296001195907593 1.0 202.0 169.0 502.0 1 0.2339886873960495 992.0 312.0 1024.0 399.0 0 0.29558998346328735 313.0 323.0 1013.0 446.0 0 0.3448467552661896 298.0 235.0 1024.0 694.0 0 0.35796064138412476 78.0 280.0 408.0 596.0 1 0.38090839982032776 752.0 226.0 972.0 326.0 0 0.43560591340065 658.0 289.0 736.0 325.0 1 0.5219219923019409 864.0 241.0 917.0 324.0 0 0.5766878128051758 161.0 291.0 245.0 590.0 0 0.6640090346336365 880.0 458.0 1024.0 636.0 4 0.6691992282867432 866.0 244.0 915.0 324.0 1 0.672379732131958 300.0 242.0 1024.0 746.0 1 0.7656157612800598 70.0 272.0 424.0 602.0 1 0.7810451984405518 676.0 225.0 869.0 324.0 1 0.8789324760437012 774.0 400.0 1024.0 1024.0 1 0.9346572756767273 426.0 268.0 641.0 327.0 ,test/0002.jpg
9 0.06629489362239838 2.0 18.0 417.0 1019.0 9 0.09840480983257294 109.0 259.0 943.0 816.0 9 0.7064773440361023 0.0 13.0 1024.0 1001.0 ,test/0003.jpg
0 0.06048927456140518 426.0 508.0 473.0 577.0 0 0.5608458518981934 425.0 405.0 651.0 578.0 0 0.7775112986564636 190.0 254.0 864.0 775.0 ,test/0004.jpg
2 0.9420836567878723 355.0 225.0 784.0 720.0 ,test/0005.jpg
0 0.06152738630771637 69.0 374.0 231.0 728.0 6 0.08873556554317474 26.0 470.0 80.0 519.0 0 0.11043711751699448 603.0 0.0 700.0 87.0 0 0.13452363014221191 0.0 810.0 92.0 940.0 9 0.15219828486442566 603.0 0.0 702.0 86.0 0 0.19146491587162018 195.0 545.0 278.0 705.0 6 0.26471203565597534 74.0 379.0 233.0 714.0 4 0.765248715877533 422.0 3.0 664.0 284.0 3 0.7974570393562317 2.0 4.0 69.0 224.0 7 0.8483158349990845 289.0 3.0 411.0 166.0 0 0.9157212376594543 897.0 787.0 1024.0 916.0 4 0.9166325926780701 364.0 451.0 842.0 724.0 ,test/0006.jpg
1 0.07244180887937546 259.0 1004.0 310.0 1023.0 1 0.08517039567232132 996.0 916.0 1024.0 1024.0 0 0.09596538543701172 769.0 92.0 874.0 187.0 9 0.11999742686748505 328.0 0.0 1020.0 208.0 0 0.1296437829732895 143.0 114.0 1021.0 921.0 0 0.13291439414024353 543.0 432.0 895.0 770.0 0 0.14055094122886658 435.0 492.0 937.0 1016.0 1 0.14806517958641052 21.0 495.0 977.0 1017.0 1 0.1782795488834381 0.0 857.0 22.0 1024.0 1 0.20378945767879486 889.0 862.0 1023.0 1024.0 1 0.26390641927719116 177.0 895.0 642.0 1024.0 0 0.2699292004108429 1.0 539.0 289.0 1024.0 1 0.490512490272522 117.0 104.0 1006.0 923.0 9 0.5506672263145447 116.0 80.0 1006.0 920.0 ,test/0007.jpg
5 0.05567767843604088 669.0 457.0 826.0 664.0 2 0.06409160047769547 153.0 571.0 210.0 663.0 1 0.08020191639661789 358.0 498.0 468.0 769.0 7 0.1350530982017517 358.0 494.0 472.0 732.0 1 0.14462251961231232 153.0 577.0 199.0 663.0 0 0.15333028137683868 353.0 129.0 416.0 224.0 0 0.160350039601326 356.0 495.0 470.0 736.0 1 0.2363928258419037 1.0 0.0 314.0 259.0 7 0.5304496884346008 539.0 427.0 700.0 605.0 7 0.8318883180618286 1.0 619.0 181.0 880.0 5 0.8355979919433594 773.0 278.0 979.0 619.0 1 0.8962735533714294 106.0 906.0 170.0 972.0 1 0.9158000349998474 647.0 636.0 720.0 761.0 7 0.9344723224639893 685.0 531.0 790.0 703.0 7 0.9413882493972778 2.0 359.0 263.0 634.0 7 0.9458500146865845 408.0 463.0 686.0 877.0 7 0.9490609169006348 168.0 494.0 466.0 965.0 ,test/0008.jpg
0 0.10493908077478409 631.0 31.0 1024.0 987.0 0 0.8994243144989014 303.0 120.0 661.0 976.0 ,test/0009.jpg
0 0.060270875692367554 421.0 662.0 449.0 694.0 7 0.06855902075767517 1.0 783.0 207.0 1024.0 0 0.1325727254152298 374.0 30.0 486.0 177.0 7 0.19822223484516144 6.0 827.0 414.0 1024.0 0 0.28285595774650574 99.0 729.0 333.0 823.0 7 0.2950291931629181 184.0 867.0 414.0 1023.0 0 0.5746784806251526 283.0 820.0 343.0 857.0 4 0.788156270980835 33.0 597.0 414.0 723.0 4 0.9476395845413208 214.0 323.0 641.0 477.0 ,test/0010.jpg
0 0.05710994452238083 0.0 1.0 405.0 524.0 0 0.05848695710301399 849.0 417.0 1024.0 1023.0 5 0.0644180104136467 595.0 637.0 868.0 851.0 0 0.06772743910551071 0.0 319.0 508.0 892.0 6 0.07732217013835907 0.0 709.0 39.0 940.0 4 0.10082729160785675 465.0 828.0 1024.0 1024.0 0 0.12701129913330078 605.0 242.0 776.0 327.0 5 0.1525019407272339 76.0 362.0 866.0 792.0 5 0.17642514407634735 595.0 391.0 829.0 599.0 0 0.1919826716184616 0.0 0.0 1024.0 1024.0 5 0.20415422320365906 0.0 127.0 1024.0 983.0 6 0.28283149003982544 1.0 310.0 525.0 784.0 5 0.2990292012691498 4.0 832.0 1018.0 1023.0 6 0.3254680931568146 0.0 0.0 1024.0 1024.0 6 0.4214508533477783 410.0 350.0 525.0 522.0 5 0.4453941285610199 0.0 478.0 957.0 1024.0 5 0.5072302222251892 706.0 323.0 919.0 466.0 5 0.5169309377670288 601.0 242.0 775.0 328.0 2 0.5281648635864258 709.0 322.0 918.0 472.0 5 0.6396222114562988 899.0 401.0 1023.0 617.0 5 0.6632777452468872 258.0 492.0 638.0 691.0 5 0.6816348433494568 468.0 113.0 773.0 322.0 5 0.729796290397644 503.0 354.0 1024.0 716.0 6 0.7819744348526001 1.0 160.0 538.0 507.0 5 0.8122603893280029 621.0 302.0 771.0 454.0 5 0.9161064624786377 677.0 415.0 889.0 566.0 5 0.9204734563827515 803.0 261.0 1005.0 407.0 ,test/0011.jpg
7 0.4778868556022644 288.0 407.0 553.0 799.0 0 0.5989319086074829 290.0 401.0 551.0 802.0 ,test/0012.jpg
